# 961175 [microsec]
# 0 [sec]
# keV    count
  1     89
  2  12563
  3  31192
  4  47049
  5  61175
  6  73503
  7  84891
  8  94640
  9 103811
 10 112229
 11 119659
 12 127472
 13 133897
 14 140544
 15 146598
 16 150479
 17 156524
 18 159620
 19 163875
 20 166882
 21 171024
 22 174513
 23 176040
 24 178745
 25 179840
 26 180958
 27 182349
 28 182402
 29 183327
 30 183684
 31 182491
 32 181530
 33 181373
 34 178717
 35 178607
 36 175875
 37 174838
 38 173335
 39 170868
 40 167845
 41 165742
 42 163175
 43 160236
 44 157588
 45 154638
 46 152176
 47 149103
 48 145774
 49 143787
 50 139521
 51 137039
 52 133896
 53 130276
 54 127378
 55 122852
 56 120886
 57 116321
 58 113177
 59 110430
 60 106853
 61 103618
 62 100589
 63  96594
 64  93601
 65  89536
 66  86346
 67  83093
 68  79399
 69  75914
 70  72897
 71  68404
 72  65379
 73  61549
 74  58663
 75  54542
 76  51829
 77  47967
 78  44388
 79  41213
 80  37464
 81  34375
 82  30640
 83  27669
 84  23987
 85  20801
 86  17443
 87  13795
 88  10503
 89   7298
 90   3910
 91    693
 92      0
 93      0
 94      0
 95      0
 96      0
 97      0
 98      0
 99      0
100      0
